Date,Actual Return,VaR Normal,VaR t-Distribution,VaR Skewed Normal
2130,0.0021533913751063,-0.031804923654383824,-0.039636603208788077,-0.03390732124404445
2131,0.0248619323248197,-0.03180634693188445,-0.03967275641744045,-0.03390662518544853
2132,-0.0018147248733538,-0.03183324537882145,-0.0397406987543058,-0.033932603374052614
2133,0.0097549458731345,-0.03183734840849901,-0.03972906620029863,-0.03393498599470906
2134,0.0312989836767395,-0.031830119034220575,-0.03968332523376025,-0.0339331494229583
2135,-0.0038272516432604,-0.03188202551873669,-0.03991650408584873,-0.03397077267411635
2136,-0.0206444623704094,-0.03189041534382775,-0.039951541045419973,-0.03397472618647517
2137,-0.000814542155045,-0.03195098303280518,-0.04007805291511099,-0.03403516406823881
2138,-0.0081575892921074,-0.03195464538320157,-0.04008653557892711,-0.03403745510069489
2139,0.0105209432347802,-0.03195657291172293,-0.040083383657852294,-0.03403898311927425
2140,0.0018868710746276,-0.031957431404087494,-0.04007853019136896,-0.03404076876794158
2141,0.0033716126055528,-0.03195650818358585,-0.04007651141463641,-0.0340398784806431
2142,0.014866115858529,-0.03195285367434695,-0.040069548705029386,-0.03403786045105895
2143,-0.0008228602239052,-0.031958459662643206,-0.04002032301143274,-0.03404702003329718
2144,-0.011489438176798,-0.031961263633256166,-0.05180262608977744,-0.03404823560678392
2145,-0.0088881615823159,-0.03197933122689995,-0.03999434679507943,-0.034066142273287386
2146,-0.0052655274586334,-0.03199407129093479,-0.039935124673539865,-0.03407919991486355
2147,-0.0024314522302757,-0.03200367053299519,-0.03988913291045954,-0.03408514574263005
2148,0.0189248459009099,-0.03200996441576548,-0.03990016299081404,-0.03408895824611512
2149,-0.0082912097362847,-0.03202281654451872,-0.039946044570258035,-0.03410056901688691
2150,0.0266605554985315,-0.03203439359898664,-0.03990033748959505,-0.034111859322389894
2151,0.0063528398904731,-0.03205429778212914,-0.04004923536455905,-0.034130842611447984
2152,0.0101319296070137,-0.03204300184220513,-0.04004859814512981,-0.03412426356525167
2153,-0.0093215357634967,-0.03204397529345545,-0.03999835535570377,-0.034127443351971126
2154,0.0012142797533226,-0.03205916910473152,-0.03994521884524609,-0.034140981305871385
2155,-0.0119017379235607,-0.032061335008895686,-0.03998056686154466,-0.0341416729300822
2156,0.0256349960505657,-0.032088875181323785,-0.03994686380275103,-0.03416470821121352
2157,0.0124642889494169,-0.03211908131533949,-0.04003282466840236,-0.034191658993826146
2158,0.0144736135030927,-0.032121308244613116,-0.03996363799342981,-0.03419787690816199
2159,-0.0029655276958565,-0.032122771957320995,-0.039894938321521814,-0.03420397480809284
2160,-0.0066193200127112,-0.032125062278845734,-0.03987928364162669,-0.03420631493990465
2161,0.0155379439628739,-0.03212483640315727,-0.03988035195170728,-0.03420516999542946
2162,-0.0006755584531873,-0.0321230356186864,-0.03984723709502434,-0.03421026763057096
2163,-0.0016916700140069,-0.03212727150635252,-0.03988992687580021,-0.03421131265506373
2164,-0.0011613704700398,-0.03211659929905871,-0.039939138337789164,-0.03420272291891085
2165,-0.0039788333152505,-0.03212121561348608,-0.03999689597275116,-0.03420209541508824
2166,0.0207861687493407,-0.032129545101528725,-0.0399768757833157,-0.03420689052052109
2167,0.0,-0.03214505827886009,-0.0399754317392182,-0.034224596902131824
2168,0.016787402500737,-0.032147121145394995,-0.039977550386150175,-0.03422562534090655
2169,0.0041121516349801,-0.03215179128251215,-0.03992753966274852,-0.03423558279384833
2170,0.001957045160632,-0.03214718169987398,-0.03991546578207091,-0.034233957203846734
2171,-0.0071234506774932,-0.03214887038743289,-0.03995565768494839,-0.03423330427745604
2172,0.0029022346771232,-0.032164087558926566,-0.03996114022571779,-0.03424206227543595
2173,-0.0135291163473375,-0.03216216513989715,-0.03995208335859053,-0.034241746926651655
2174,-0.021042409369164,-0.032195271234477636,-0.039942587591184776,-0.03427132080962961
2175,-0.0024221504852694,-0.032248834624460064,-0.04002322857800364,-0.03433082111457657
2176,0.0031960538501039,-0.03225194894297498,-0.04000654871665293,-0.034333033012534216
2177,0.014018755573168,-0.032247286006470824,-0.04000708024169722,-0.03433042745410329
2178,-0.034435146822844,-0.032245061616537465,-0.0399499538074192,-0.0343350781830625
2179,-0.0066341812226898,-0.03237605578950486,-0.04021801908168509,-0.034497174611474675
2180,-0.0110385154448238,-0.032384383552485047,-0.040173853961088545,-0.034504135963495886
2181,-0.0076382069633674,-0.03240781443255599,-0.040114864946691094,-0.03452429174515294
2182,0.0031329913929309,-0.032423365164479176,-0.04006663839071797,-0.034536632735965675
2183,-0.0106002986163541,-0.032421096807702464,-0.04005636620351064,-0.03453553768874725
2184,-0.0037803195674999,-0.032445023293340605,-0.040034667825165834,-0.03455362777426349
2185,0.0178054494695123,-0.03245039127252357,-0.04000724751808547,-0.034557680945703946
2186,0.0065150976712098,-0.032449682120537865,-0.040006410968130186,-0.0345642815479293
2187,0.0154156646749812,-0.03244959376729395,-0.03999340085431853,-0.034564263642099365
2188,0.0106903372358958,-0.03245381182212938,-0.0399266682126081,-0.03457317715391095
2189,-0.0444562396223814,-0.03245506917167899,-0.039911018688578014,-0.0345751404896689
2190,0.0038086642003315,-0.03266378837451154,-0.040286815837985615,-0.034841505637767986
2191,-0.0114182361039478,-0.03265650675020873,-0.04029658625277352,-0.03483828945433504
2192,-0.0076581609168669,-0.032678242338293806,-0.040242923081516994,-0.034858658059598036
2193,0.0077248960725982,-0.032687247102813816,-0.04020626152463486,-0.03486603633488089
2194,-0.0115448603798893,-0.0326862785649045,-0.04015730323280854,-0.034867450269281654
2195,-0.0175976043945255,-0.032709521210384084,-0.040102337346103696,-0.03488911164868906
2196,-0.0084353092223799,-0.03275612636444866,-0.040110234232097745,-0.03493440224951525
2197,-0.0168970280181522,-0.032770189314272315,-0.040055430511454555,-0.034947082616494776
2198,-0.0099418780724157,-0.0328118560823042,-0.04004345188474936,-0.03498830715256089
2199,-0.00255586589423,-0.03281710391439427,-0.04003933793649538,-0.034993864561914986
2200,0.0194852462594185,-0.03281185459359638,-0.040065265083581915,-0.03498969425938105
2201,-0.0211103589908179,-0.03282242299886872,-0.040041983095756226,-0.03500429151132382
2202,-0.0155843697088152,-0.032879296663121796,-0.04008775936734859,-0.03506651123903602
2203,0.0260588123749907,-0.03279711586874441,-0.0398637137959935,-0.034959771212917504
2204,0.0305162099334727,-0.03276104982501618,-0.0398701237602198,-0.03491563337968989
2205,-0.0023307566465651,-0.03280383878085035,-0.04006965301142394,-0.034943682955550434
2206,-0.0103696703804699,-0.03279818418088613,-0.04009786442873964,-0.0349389475309007
2207,-0.0282902255726132,-0.03280269224511533,-0.04003899850491033,-0.03493840137476907
2208,-0.0076645971472147,-0.03289805196289763,-0.040180838250975466,-0.03504905627360854
2209,-0.006353133413078,-0.03287833672752731,-0.04016434781575108,-0.03502804718599831
2210,-0.0033037925580562,-0.032887727050156794,-0.04012103084213903,-0.0350354633915912
2211,0.0260487198507181,-0.032885708006239196,-0.04013148884654838,-0.03503386861357109
2212,-0.0230523691992188,-0.03290598490904297,-0.040228612346388914,-0.035054812489339074
2213,0.0253724843602683,-0.032863988379555474,-0.0401171091348161,-0.034999018372914886
2214,0.0116808799185651,-0.032882630248257425,-0.040213564671617866,-0.03501200523664898
2215,-0.0071116929480006,-0.032836807156449474,-0.04014385832122745,-0.03496983212120704
2216,-0.0084205088172512,-0.032840071650057215,-0.04013237994484358,-0.0349729322739886
2217,0.0240107766858876,-0.03285281795874001,-0.040145316184029625,-0.03497719119407376
2218,0.0121622572028094,-0.03287636070312249,-0.04024853090087185,-0.03499623164592412
2219,0.0158424402229398,-0.032877603034355066,-0.0402457175330372,-0.03499833738772264
2220,-0.0075626565886131,-0.03287194015146994,-0.040226160519429205,-0.035000586426031134
2221,-0.0053541161931164,-0.03288806479293482,-0.040204166400047536,-0.03501123522475688
2222,0.0235120474700831,-0.03289957439932525,-0.04020534621038121,-0.03501732958126931
2223,-0.0072496678775788,-0.032905565944621046,-0.040236500808782244,-0.03502121320497147
2224,-0.004385414939136,-0.03291535062955554,-0.040195207684163965,-0.03502898572046925
2225,-0.0254164677459138,-0.03290330205767056,-0.04022179823587992,-0.03501785694855274
2226,-0.0103501645951438,-0.03293387270594508,-0.04031208609882649,-0.03505747323244961
2227,0.0142905077816256,-0.032951299098781944,-0.040263339251754696,-0.03507239257280674
2228,0.009519923476604,-0.032941582500706654,-0.040240244529297295,-0.03507150311603244
2229,0.0053809224288171,-0.03294110640226877,-0.04024519159610802,-0.03507046325365551
2230,-0.0208171131396041,-0.03293994642788152,-0.04022137398964202,-0.03507133597153973
2231,0.0534971624512133,-0.032955508465769695,-0.04026733943956405,-0.03509057942697097
2232,0.0096321717476724,-0.03308174846561657,-0.04069530490079007,-0.03512004275076493
2233,-0.0085431040413981,-0.033081597923631176,-0.04063663486616103,-0.03512267018850142
2234,0.0084929234613281,-0.03308584802104281,-0.04062862073764662,-0.03512660044741195
2235,-0.0076580885210679,-0.033079058640736805,-0.04063183073045595,-0.03511858976717708
2236,-0.0030646365679282,-0.03309471983158524,-0.04058937568438097,-0.03512954018998686
2237,0.004530264689753,-0.03308129155210982,-0.04055735385861927,-0.03511332462076473
2238,-0.0036428069954803,-0.033075375937179914,-0.04054992523211715,-0.03511074457266984
2239,0.0133673620830869,-0.033083861176578036,-0.040563122107106796,-0.03511384625332786
2240,0.0062818823834154,-0.03308408963141072,-0.040563220142215264,-0.03511451411270773
2241,-0.0002238361224569,-0.03295741490178261,-0.04031732144378105,-0.034965489383634016
2242,-0.0160857696773681,-0.03295583978642203,-0.040322982872550636,-0.034963993365196594
2243,-0.001719019668854,-0.03292401575656149,-0.04023021114017096,-0.03492508758983798
2244,0.0310146971331695,-0.03292785552270899,-0.0402244751902427,-0.03492641246828
2245,-0.0007360303365465,-0.032972560335865694,-0.04035743520236385,-0.034962036412715725
2246,-0.0011544004461399,-0.032976786551204514,-0.04038123664623154,-0.03496307472075376
2247,-0.0181530993524156,-0.03297776599953294,-0.040376941852366136,-0.0349641688770968
2248,-0.0145197239670527,-0.03297579950213567,-0.04037226987873461,-0.034961170264778796
2249,-0.0017027156375284,-0.032955368311063174,-0.04031522207012854,-0.03493688125155125
2250,0.0078033816726652,-0.03295616040772692,-0.040311538691909024,-0.03493748490440166
2251,-0.0074981742089104,-0.03291786357385072,-0.0402870881331823,-0.034903947526625026
2252,0.0143143901685844,-0.03289092100105777,-0.04025338839928332,-0.03487494691523626
2253,0.007541491229404,-0.03283464913326909,-0.04014774901089682,-0.03482020433235945
2254,-0.006414217402198,-0.03274348949887388,-0.039973229180319085,-0.0347202322655247
2255,-0.024766093549234,-0.032609839962821706,-0.039554094012796366,-0.03465440169144797
